year,Country,GDPPC_I,FC,FR
1993,"Kenya",508.8555,1486,14.97
1994,"Kenya",506.6538,1625,15.87
1995,"Kenya",513.8636,1562,14.82
1996,"Kenya",520.5879,1573,14.52
1997,"Kenya",509.3723,1625,14.63
1998,"Kenya",512.6942,1684,14.80
1999,"Kenya",511.1534,1794,15.41
2000,"Kenya",500.9634,1835,15.40
2001,"Kenya",506.2846,1812,14.87
2002,"Kenya",495.5687,1723,13.82
2003,"Kenya",496.4931,1756,13.77
2004,"Kenya",507.9099,1734,13.30
2005,"Kenya",523.6138,1719,12.89
2006,"Kenya",542.0425,1538,11.18
2007,"Kenya",564.6669,1594,11.22
2008,"Kenya",551.0753,1743,11.89
2009,"Kenya",554.2682,1872,12.37
2010,"Kenya",584.9303,2044,13.08
2011,"Kenya",604.2172,2213,13.70
2012,"Kenya",614.3058,2276,13.63
2013,"Kenya",632.3696,2380,13.80
1989,"Kiribati",952.4438,4,13.64
1990,"Kiribati",951.5377,3,9.95
1991,"Kiribati",894.0549,4,13.58
1992,"Kiribati",908.8069,5,14.81
1993,"Kiribati",928.2479,5,14.57
1994,"Kiribati",961.4049,5,14.54
1995,"Kiribati",939.2126,5,14.23
1996,"Kiribati",982.0903,4,13.23
1997,"Kiribati",1020.811,4,12.50
1998,"Kiribati",1114.604,4,12.32
1999,"Kiribati",1097.63,4,12.36
2000,"Kiribati",1181.49,4,11.11
2001,"Kiribati",1169,4,11.16
2002,"Kiribati",1154.676,4,11.89
2003,"Kiribati",1179.6,5,12.59
2004,"Kiribati",1195.607,5,13.16
2005,"Kiribati",1173.314,5,11.72
2006,"Kiribati",1102.328,5,11.91
2007,"Kiribati",1166.81,5,12.23
2008,"Kiribati",1180.854,5,12.55
2009,"Kiribati",1155.456,5,12.45
2010,"Kiribati",1132.373,5,12.34
2011,"Kiribati",1145.735,5,12.81
2012,"Kiribati",1159.979,6,12.77
2013,"Kiribati",1176.198,5,12.46
1989,"Korea, Dem. Rep.",,4023,33.71
1990,"Korea, Dem. Rep.",,3761,31.02
1991,"Korea, Dem. Rep.",,3654,29.60
1992,"Korea, Dem. Rep.",,3355,26.76
1993,"Korea, Dem. Rep.",,3173,25.01
1994,"Korea, Dem. Rep.",,3323,25.88
1995,"Korea, Dem. Rep.",,3576,27.55
1996,"Korea, Dem. Rep.",,3263,24.85
1997,"Korea, Dem. Rep.",,3259,24.54
1998,"Korea, Dem. Rep.",,3292,24.51
1999,"Korea, Dem. Rep.",,2994,22.07
2000,"Korea, Dem. Rep.",,2488,18.18
2001,"Korea, Dem. Rep.",,2372,17.17
2002,"Korea, Dem. Rep.",,2130,15.29
2003,"Korea, Dem. Rep.",,2195,15.62
2004,"Korea, Dem. Rep.",,2031,14.36
2005,"Korea, Dem. Rep.",,2136,14.99
2006,"Korea, Dem. Rep.",,2091,14.56
2007,"Korea, Dem. Rep.",,2123,14.69
2008,"Korea, Dem. Rep.",,2379,16.34
2009,"Korea, Dem. Rep.",,2475,16.82
2010,"Korea, Dem. Rep.",,2519,17.00
2011,"Korea, Dem. Rep.",,2594,17.35
2012,"Korea, Dem. Rep.",,2515,16.66
2013,"Korea, Dem. Rep.",,2361,15.53
1989,"Korea, Republic of",8158.035,1088,5.74
1990,"Korea, Republic of",8829.106,1052,5.49
1991,"Korea, Republic of",9591.263,1026,5.23
1992,"Korea, Republic of",10039.35,1036,5.17
1993,"Korea, Republic of",10566.9,1014,4.98
1994,"Korea, Republic of",11378.75,1022,4.87
1995,"Korea, Republic of",12270.85,1013,4.73
1996,"Korea, Republic of",13027.9,1009,4.61
1997,"Korea, Republic of",13650.58,1003,4.48
1998,"Korea, Republic of",12778.02,994,4.52
1999,"Korea, Republic of",14048.97,985,4.43
2000,"Korea, Republic of",15162.35,966,4.26
2001,"Korea, Republic of",15731.62,963,4.19
2002,"Korea, Republic of",16806.88,949,4.06
2003,"Korea, Republic of",17214.14,933,3.99
2004,"Korea, Republic of",17989.91,932,3.91
2005,"Korea, Republic of",18657.46,915,3.82
2006,"Korea, Republic of",19528.32,905,3.74
2007,"Korea, Republic of",20499.58,889,3.63
2008,"Korea, Republic of",20928.38,883,3.59
2009,"Korea, Republic of",20976.46,884,3.59
2010,"Korea, Republic of",22236.02,866,3.47
2011,"Korea, Republic of",22883.76,870,3.43
2012,"Korea, Republic of",23303.01,875,3.40
2013,"Korea, Republic of",23892.53,871,3.34
1989,"Kosovo",1381.282,143,19.00
1990,"Kosovo",1388.488,138,17.62
1991,"Kosovo",1380.176,135,16.96
1992,"Kosovo",1348.763,125,15.22
1993,"Kosovo",1342.878,118,14.41
1994,"Kosovo",1337.669,110,13.43
1995,"Kosovo",1373.376,109,12.95
1996,"Kosovo",1422.052,105,12.24
1997,"Kosovo",1468.213,99,11.69
1998,"Kosovo",1493.396,90,11.12
1999,"Kosovo",1481.35,77,10.40
2000,"Kosovo",1514.466,69,9.63
2001,"Kosovo",1921.673,67,9.20
2002,"Kosovo",1906.907,63,8.94
2003,"Kosovo",2019.572,60,8.64
2004,"Kosovo",2070.92,60,8.36
2005,"Kosovo",2194.373,56,8.02
2006,"Kosovo",2313.958,54,7.73
2007,"Kosovo",2398.74,60,8.47
2008,"Kosovo",2465.214,62,8.72
2009,"Kosovo",2526.195,61,8.46
2010,"Kosovo",2616.248,61,8.33
2011,"Kosovo",2666.561,60,8.13
2012,"Kosovo",2732.584,59,7.94
2013,"Kosovo",2788.493,58,7.82
1989,"Kuwait",23775.46,22,2.86
1990,"Kuwait",23663.22,22,2.86
1991,"Kuwait",22933.63,23,2.92
1992,"Kuwait",22548.94,24,2.94
1993,"Kuwait",29175.44,21,2.52
1994,"Kuwait",30690.38,21,2.43
1995,"Kuwait",31237.8,18,2.40
1996,"Kuwait",31444.26,19,2.38
1997,"Kuwait",31222.33,20,2.39
1998,"Kuwait",30745.57,21,2.43
1999,"Kuwait",28598.13,23,2.54
2000,"Kuwait",28561.23,24,2.54
2001,"Kuwait",27689.13,26,2.59
2002,"Kuwait",27578.15,27,2.61
2003,"Kuwait",31313.25,26,2.38
2004,"Kuwait",33418.23,25,2.27
2005,"Kuwait",35185.93,25,2.18
2006,"Kuwait",35936.35,26,2.14
2007,"Kuwait",36040.02,27,2.14
2008,"Kuwait",34920.45,30,2.19
2009,"Kuwait",30765.77,35,2.43
2010,"Kuwait",28615.95,39,2.55
2011,"Kuwait",30194.01,38,2.42
2012,"Kuwait",31436.8,39,2.34
2013,"Kuwait",31468.04,41,2.35
1989,"Kyrgyzstan",673.6755,172,9.71
1990,"Kyrgyzstan",698.5208,138,7.63
1991,"Kyrgyzstan",633.2389,132,7.19
1992,"Kyrgyzstan",539.0347,119,6.43
1993,"Kyrgyzstan",455.5724,94,5.08
1994,"Kyrgyzstan",364.199,62,3.35
1995,"Kyrgyzstan",341.024,55,2.94
1996,"Kyrgyzstan",359.8186,61,3.20
1997,"Kyrgyzstan",389.7688,60,3.09
1998,"Kyrgyzstan",391.9795,64,3.22
1999,"Kyrgyzstan",400.3161,37,1.82
2000,"Kyrgyzstan",417.0427,40,1.94
2001,"Kyrgyzstan",435.088,39,1.86
2002,"Kyrgyzstan",431.0378,37,1.73
2003,"Kyrgyzstan",456.5294,26,1.20
2004,"Kyrgyzstan",482.732,41,1.85
2005,"Kyrgyzstan",476.4801,24,1.05
2006,"Kyrgyzstan",486.0117,22,0.93
2007,"Kyrgyzstan",522.5245,23,0.95
2008,"Kyrgyzstan",561.0682,23,0.94
2009,"Kyrgyzstan",570.3351,21,0.84
2010,"Kyrgyzstan",560.9146,20,0.79
2011,"Kyrgyzstan",587.1358,17,0.66
2012,"Kyrgyzstan",576.9305,16,0.63
2013,"Kyrgyzstan",625.173,29,1.08
1989,"Lao PDR",252.3462,742,39.71
1990,"Lao PDR",261.5392,780,40.47
1991,"Lao PDR",264.9476,722,36.39
1992,"Lao PDR",271.7262,833,40.84
1993,"Lao PDR",279.8266,742,35.46
1994,"Lao PDR",294.6771,760,35.45
1995,"Lao PDR",307.606,727,33.17
1996,"Lao PDR",321.3246,684,30.52
1997,"Lao PDR",335.9858,686,29.98
1998,"Lao PDR",342.3196,709,30.34
1999,"Lao PDR",360.5884,733,30.73
2000,"Lao PDR",375.1164,574,23.59
2001,"Lao PDR",390.7525,562,22.62
2002,"Lao PDR",408.2767,545,21.53
2003,"Lao PDR",427.3574,524,20.26
2004,"Lao PDR",448.1437,502,19.00
